Date;Credit_Portfolio_Total;Credit_Portfolio_Corporate;Credit_Portfolio_Retail;Delinquency_15-90d_Total_%;Delinquency_15-90d_Corporate_%;Delinquency_15-90d_Retail_%;Interest_Rate_NonEarmarked_Corporate_%am;Interest_Rate_NonEarmarked_Retail_%am;Default_Rate_Personal_NonPayroll_%;Default_Rate_Personal_Payroll_Private_%;Default_Rate_Revolving_Credit_Card_%;Default_Rate__Corporate_SMBs_%;Default_Rate_Corporate_Large_%;Unemployment_Rate_PNADC_%;Inflation_IPC-Br_%;Net_Debt_FedGov_CenBank_%GDP;Net_Debt_Consolidated_%GDP;Primary_Result_YTD_ex-FX
01/10/2024;6.27E+12;2.40E+12;3.88E+12;3.78;1.58;5.14;1.63;3.57;5.88;7.66;55.03;4.4;0.24;6.2;0.3;52.69;61.38;56678430000
01/11/2024;6.37E+12;2.44E+12;3.93E+12;3.76;1.44;5.2;1.65;3.62;5.84;7.41;53.81;4.32;0.28;6.1;-0.13;52.44;61.22;63298030000
01/12/2024;6.46E+12;2.50E+12;3.96E+12;3.67;1.51;5.03;1.65;3.61;5.93;7.5;54.7;4.08;0.28;6.2;0.31;52.55;61.48;47552860000
01/01/2025;6.46E+12;2.45E+12;4.01E+12;3.84;1.62;5.2;1.82;3.68;6.49;7.88;55.02;4.49;0.31;6.5;0.02;52.5;61.09;-1.04E+11
01/02/2025;6.52E+12;2.48E+12;4.04E+12;3.65;1.66;4.86;1.79;3.81;6.75;7.73;54.56;4.68;0.31;6.8;1.18;52.74;61.24;-85122250000
01/03/2025;6.58E+12;2.50E+12;4.08E+12;3.99;1.75;5.36;1.77;3.82;6.66;7.49;55.66;4.66;0.33;7;0.44;53.03;61.44;-88710460000
01/04/2025;6.62E+12;2.51E+12;4.11E+12;4.02;1.72;5.41;1.82;3.89;7.01;6.95;56.79;5.03;0.5;6.6;0.52;53.07;61.5;-1.03E+11
01/05/2025;6.66E+12;2.53E+12;4.13E+12;4.06;1.68;5.52;1.82;3.9;7.21;6.64;58.75;5.14;0.41;6.2;0.34;53.61;62.01;-69120640000
01/06/2025;6.69E+12;2.54E+12;4.14E+12;3.95;1.53;5.43;1.83;3.9;7.53;6.38;57.55;5.07;0.43;5.8;0.16;54.5;62.88;-22029450000
01/07/2025;;;;;;;;;;;;;;;0.37;;;
